beneficiary,vintage_year,total_volume
Shell,2015,6326302.0
PRIMAX COLOMBIA S.A identificada con Nit: 860.002.554-8,2016,5250000.0
Eni Upstream,2021,4826151.0
Shell,2010,4748908.0
Shell,2020,4129023.0
Shell,2014,4004460.0
Eni Upstream,2020,3780735.0
DL,2016,3315437.0
Shell,2017,3118161.0
Shell,2013,2759939.0
Shell,2019,2739279.0
TASC SA Pty Ltd (COAS account 101046),2023,2575966.0
Eni Upstream,2019,2506509.0
Delta Air Lines,2016,2379033.0
Shell,2016,2248832.0
"Yamato Transport Co., Ltd.",2019,2196227.0
Delta Air Lines,2012,2129863.0
"Yamato Transport Co., Ltd.",2018,2072132.0
Greenchoice,2012,2062513.0
AUDI AG,2018,2022064.0
Shell,2008,2020755.0
DL,2014,1983707.0
Eni Upstream,2018,1869914.0
DL,2015,1852126.0
Marke VW Pkw,2021,1702063.0
AUDI AG,2020,1700582.0
AUDI AG,2021,1658910.0
Shell,2018,1621181.0
Telstra Corporation Limited,2020,1584488.0
AUDI AG,2019,1580830.0
Shell,2012,1525825.0
PetroChina International Company Limited (“PCI”),2010,1496214.0
Volkswagen Marke Pkw,2019,1493494.0
The Boeing Company,2019,1485895.0
Delta Air Lines,2010,1424018.0
Delta Air Lines,2015,1405453.0
BIOMAX BIOCOMBUSTIBLES S.A NIT 830136799-1,2014,1400000.0
Takeda Pharmaceutical Company,2017,1368047.0
Telstra Corporation Limited,2019,1367692.0
Takeda Pharmaceutical Company,2016,1324230.0
Telstra Corporation Limited,2018,1276853.0
BIOMAX BIOCOMBUSTIBLES S.A,2014,1239775.0
"CHEVRON PETROLEUM COMPANY, identificada con NIT 860.005.223-9",2014,1218933.0
DL,2019,1217979.0
Norwegian Cruise Line Holdings Ltd.,2014,1183891.0
Eni Upstream,2017,1172056.0
Delta Air Lines,2011,1161622.0
Delta Air Lines,2017,1079683.0
DL,2013,1077808.0
PetroChina International Company Limited (“PCI”),2018,1073552.0
Geopost,2016,1057460.0
ENGIE ABN 67 269 241 237,2018,1011439.0
DL,2010,1000000.0
VW PKW,2019,999975.0
GP-2,2010,978432.0
VW PKW,2018,965215.0
Norwegian Cruise Line Holdings Ltd.,2013,914082.0
Geopost,2017,904743.0
DL,2017,873229.0
Eni Plenitude SpA Società Benefit,2013,856441.0
CHEVRON PETROLEUM COMPANY,2016,838737.0
TERPEL S.A  NIT 830.095.213-0,2014,834861.0
"Interface, Inc.",2019,820094.0
The Boeing Company,2020,817169.0
TASC SA Pty Ltd (COAS account 101046),2022,805990.0
CHEVRON PETROLEUM COMPANY,2015,795273.0
GP-2,2011,774366.0
Shell,2023,766835.0
GP-2,2009,766025.0
PRIMAX COLOMBIA S.A  identificada con Nit: 860.002.554-8,2016,750000.0
Telstra Corporation Limited,2021,746718.0
Shell,2021,737979.0
_,2017,721206.0
_,2014,715765.0
ExxonMobil de Colombia NIT 860.002.554-8,2013,706587.0
GP-2,2008,706032.0
Woodside Burrup Pty Ltd,2019,705301.0
Greenchoice,2013,703694.0
Geopost,2015,693043.0
Eni Upstream,2022,688076.0
ENTEGA Plus GmbH,2010,669456.0
PRIMAKLIMA e.V.,2017,660750.0
Greenchoice,2014,659752.0
Exxon Mobil de Colombia SA,2013,657344.0
Woodside Burrup Pty Ltd,2018,656485.0
0x79C8D248dE2FFa98fA1CF1793c79bB86615a52D7,2008,650136.0
Transaction Reference 13298,2018,644175.0
_,2015,634274.0
Marke VW Pkw,2020,624466.0
Guccio Gucci S.p.a,2014,592474.0
_,2016,588009.0
DL,2020,581075.0
Anonymous,2021,575494.0
Allianz SE,2011,574263.0
4AIR Client,2017,573164.0
Gucci,2014,570313.0
DL,2018,565912.0
DPDgroup,2012,556648.0
0xAf529400FF068AFbdc907c699B9184a4381481B0,2011,555394.0
Volkswagen Brand Passenger Cars,2018,550000.0
Volkswagen Marke Pkw,2018,548288.0
Volkswagen Nutzfahrzeuge,2017,546506.0
Greenchoice,2015,545196.0
"Eprimo GmbH, Flughafenstraße 20, 63263 Neu-Isenburg",2016,530000.0
Eni Plenitude SpA Società benefit,2021,524741.0
Brisbane City Council,2012,523123.0
Eni Upstream,2016,520636.0
0xee9930a62fbf85fb443ad3d7410da665ebc90b83,2015,517520.0
Disney,2016,515799.0
Delta Air Lines,2014,514929.0
Chiesi Limited,2001,514611.0
Geopost,2014,511271.0
Guccio Gucci Spa,2014,510000.0
"Interface, Inc.",2018,506342.0
Stadtwerke Rostock AG,2017,505303.0
CHEVRON PETROLEUM COMPANY NIT 860005223-9,2013,504749.0
TERPEL S.A  NIT 830.095.213-0,2013,500576.0
The Walt Disney Company,2018,500101.0
Guccio Gucci Spa,2017,500000.0
DPDgroup,2007,496738.0
ENGIE ABN 67 69 241 237,2018,494640.0
BIOMAX SA,2015,494464.0
Chanel,2018,487268.0
VW Pkw,2020,487184.0
Australia and New Zealand Banking Group Ltd,2018,483000.0
Church & Dwight,2008,481089.0
I.F.,2018,480740.0
Gucci,2013,479687.0
The Boeing Company,2014,473238.0
"Yamato Transport Co., Ltd.",2020,472582.0
4AIR Client,2019,468183.0
Barilla/Mulino Bianco,2018,468038.0
Brisbane City Council,2017,464736.0
Logan City Council,2018,461299.0
4AIR Client,2014,458238.0
ENGIE ABN 67 269 241 237,2019,457361.0
Delta Air Lies,2015,457000.0
4AIR Client,2016,451390.0
_,2013,451362.0
Takeda Pharmaceutical Company Limited,2020,449709.0
GP-4,2010,447862.0
Terpel S.A.,2012,445479.0
_,2018,444196.0
"CPC Corporation, Taiwan",2020,444149.0
N/A,2015,443560.0
Greenchoice,2011,443419.0
Takeda Pharmaceutical Company,2018,438116.0
"Retired on behalf of easyJet for aviation emissions period 01 April – 30 June 2022, and on behalf of easyJet Holidays for ground-based emissions period 01 April – 30 June 2022",2019,437534.0
Takeda Pharmaceutical Company Limited,2021,434829.0
SEAT S.A.,2021,434718.0
ZIPAIR Tokyo Inc.,2019,434565.0
"Retired on behalf of easyJet for aviation emissions period 01 January – 31 March 2022, and on behalf of easyJet Holidays for ground-based emissions period 01 January – 31 March 2022",2019,433697.0
MOSS EARTH - RETIREMENT FOR TOKENIZATION,2014,432762.0
DL,2012,425195.0
Eni Plenitude SpA Società benefit,2020,416417.0
"CPC Corporation, Taiwan",2019,415544.0
ENTEGA Plus GmbH NATURbalance Erdgas Absatz Privatkunden Teilmenge Januar-November 2022,2012,414981.0
4AIR Client,2015,414125.0
0xC4652c97AE04a8cF6541c76cB96D9a7684eA1A8c,2010,411384.0
DPDgroup,2011,408013.0
Pangolin,2014,407421.0
Woodside Burrup Pty Ltd,2020,401518.0
Transaction Reference 11640,2011,400044.0
0x2845Ec77192Ad7BA2Faf67e63B49BE6c8D4f8b20,2009,400000.0
Guccio Gucci Spa,2015,400000.0
BRISBANE CITY COUNCIL,2021,398682.0
Delta Air Lines,2018,393258.0
"CPC Corporation, Taiwan",2017,392155.0
Chanel,2020,389505.0
Eni Upstream,2015,385880.0
WeAct Pty Ltd. with COAS account 101017.,2008,381540.0
PetroChina International Company Limited (“PCI”),2014,376850.0
0xC4652c97AE04a8cF6541c76cB96D9a7684eA1A8c,2009,376200.0
Guccio Gucci Spa,2018,375000.0
EnergyAustralia Pty Ltd,2021,371000.0
"Osaka Gas Co., Ltd.",2014,368717.0
ESWE Versorgungs AG,2010,366156.0
CHEVRON PETROLEUM COMPANY NIT 860.005.223-9,2014,362277.0
Marke Volkswagen,2019,360477.0
SEAT S.A.,2017,360254.0
GP-2,2013,358498.0
Transaction Reference 13298,2016,355372.0
The Boeing Company,2018,352631.0
Süwag Vertrieb AG & Co. KG,2013,352031.0
Apple Inc.,2018,350252.0
Gucci,2008,350000.0
Paris 2024 Olympic and Paralympic Organising committee,2019,349545.0
"Interface, Inc.",2017,347719.0
Eni Plenitude SpA Società Benefit,2019,347375.0
Marke VW Pkw,2017,347287.0
0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,2013,345698.0
N/A,2016,340227.0
Lyft,2018,339592.0
"CHEVRON PETROLEUM COMPANY, identificada con NIT 860.005.223-9",2013,339289.0
ŠKODA AUTO a.s.,2020,338967.0
Netflix,2017,338569.0
0xAf529400FF068AFbdc907c699B9184a4381481B0,2014,338158.0
Allianz SE,2010,337202.0
4AIR Client,2018,336444.0
ENTEGA Plus GmbH NATURbalance Erdgas Absatz Privatkunden Teilmenge Januar-Oktober 2021,2011,335489.0
Brisbane City Council,2015,334672.0
The Walt Disney Company,2016,334451.0
Netflix,2012,331600.0
0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,2010,327588.0
Ecologi Action Ltd,2019,326802.0
"CPC Corporation, Taiwan",2018,326265.0
Clients of Ausante,2008,325770.0
ENTEGA Energie GmbH,2010,325247.0
zukunftswerk. eG,2011,324899.0
Telstra Corporation Limited,2014,320994.0
Skoda Auto a.s.,2018,320123.0
"Shaw Industries Group, Inc.",2020,320085.0
"Etsy, Inc.",2018,316009.0
"Apple, Inc.",2017,315000.0
_,2012,314560.0
Volkswagen Marke Pkw,2020,314474.0
"AEL Mining Services Limited, COAS Account: 100015",2011,313980.0
BRISBANE CITY COUNCIL,2020,312890.0
Arcadian Organic & Natural Meat Co. Pty Ltd,2009,310252.0
0x00000016F127c94A667Ae3C9fDF0C31c9C79826f,2008,310031.0
Brisbane City Council,2016,309718.0
_,2019,307872.0
BIOMAX BIOCOMBUSTIBLES S.A Nit. 830.136.799-1,2016,307050.0
Civitas Resources,2015,305619.0
Kering,2015,304903.0
Delta Air Lines,2008,304269.0
Fortescue Metals Group Ltd,2020,304221.0
"Yibin Petrochina Kunlun Gas Co., Ltd",2012,304006.0
Paris 2024 Olympic and Paralympic Organising committee,2020,303235.0
Australian Paper,2017,301001.0
Chanel Ltd.,2022,300000.0
GeoPost/DPDgroup - 2021 Emissions - Certificate 22/264,2019,298856.0
Volkswagen AG,2018,294998.0
"Salesforce, Inc.",2021,293637.0
4AIR Client,2013,293627.0
0xAf529400FF068AFbdc907c699B9184a4381481B0,2010,292889.0
Air Canada,2020,292472.0
"Netflix, Inc.",2012,292125.0
I.F.,2017,292066.0
Opal Australian Paper,2017,291638.0
Delta Airlines,2012,291333.0
"AEL Mining Services Limited, COAS Account: 100015",2009,289868.0
0xDAb7f2BC9AA986d9759718203C9a76534894E900,2014,289104.0
Chanel,2019,287674.0
Nedbank Limited,2013,285000.0
0xCF237f7E640e32470587fF8e5918EAD1840c6E5A,2011,279656.0
0x0BF92DeE04456E3851D7418ed890d5522d7BD496,2017,279365.0
PetroChina International Company Limited (“PCI”),2019,278754.0
Powershop Australia Pty Limited,2019,277114.0
0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,2014,275731.0
Pangolin,2018,274888.0
0xC4652c97AE04a8cF6541c76cB96D9a7684eA1A8c,2008,274669.0
Nicoventures Trading Limited,2015,273753.0
BRISBANE CITY COUNCIL,2022,273005.0
GeoPost/DPDgroup - 2021 Emissions - Certificate 22/264,2007,271213.0
Triton Partners,2019,269647.0
Carbonfund.org Foundation,2016,269468.0
TASC SA Pty Ltd (COAS account 101046),2024,269467.0
EnergyAustralia Pty Ltd,2022,269320.0
"Netflix, Inc.",2019,269043.0
E.ON ENERGIE DEUTSCHLAND GmbH,2021,267407.0
Telstra Corporation Limited,2017,267091.0
0xc450fEbECA0A1A4f802C74b5a15CfC90b799eaF5,2013,265422.0
Powershop Australia Pty Limited,2018,263297.0
DPD Group,2007,263013.0
Pangolin,2013,262651.0
Origin Energy Limited (Under Climate Active),2018,262342.0
0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,2011,258744.0
TotalEnergies Wärme&Kraftstoff Deutschland,2020,258552.0
Pangolin,2016,258026.0
Marke Volkswagen,2018,257514.0
Stadtwerke Norderstedt,2010,257290.0
"Apple, Inc.",2016,257110.0
"SAIBU GAS CO., LTD.",2008,255248.0
CMA CGM,2016,252732.0
0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,2012,251604.0
Guccio Gucci Spa,2019,250000.0
BrewDog PLC,2014,250000.0
0x5298ee22D6B4EC1A8C62944BA63a8A197ee726e2,2015,249127.0
CHEVRON PETROLEUM COMPANY,2014,248212.0
Beiersdorf AG,2013,247722.0
Volkswagen Marke Pkw,2021,247066.0
Gazprom Global LNG Limited,2012,246320.0
0x4e681e861E343673e007578f6dAB9c3b8C58E2ee,2013,243952.0
"Tokyo Gas Co., Ltd. for the LNG cargo delivered on 15 September 2023 under QC LNG SPA",2010,243283.0
"Netflix, Inc.",2015,242000.0
Netflix,2019,242000.0
VistaJet,2010,241522.0
DPD Group,2015,240942.0
Woodside Energy Group Ltd,2018,240700.0
"PRIMAX COLOMBIA S.A. identificada con NIT. 860.002.554-8,",2014,240408.0
0xAf529400FF068AFbdc907c699B9184a4381481B0,2012,239295.0
Delta Airlines,2011,239239.0
GeoPost/DPDgroup - 2021 Emissions - Certificate 22/264,2018,238883.0
EY Global Services Limited,2021,238410.0
PetroChina International Company Limited (“PCI”),2008,237567.0
0xA3fBf3282B227edfCeD3488Ac8b71AF4D38FC075,2008,237000.0
Natura Cosméticos S.A.,2018,235519.0
ENERGY Joburg RF (PTY) Ltd ac no: 100007,2019,235155.0
Pangolin,2017,234780.0
ENTEGA Plus GmbH,2012,234484.0
Localiza Rent a Car,2023,234233.0
0xDAb7f2BC9AA986d9759718203C9a76534894E900,2015,233597.0
0xDAb7f2BC9AA986d9759718203C9a76534894E900,2013,232754.0
"68,032MT of the LNG cargo from Brunei LNG, delivered by Shell to Osaka Gas Co. Ltd",2010,232672.0
TotalEnergies Marketing Deutschland,2020,230944.0
The Boeing Company,2021,230786.0
_,2008,230420.0
Arcadian Organic & Natural Meat Co. Pty Ltd,2008,229614.0
Petróleos del Milenio (Petromil) NIT 819.001.667-8,2019,228791.0
Terpel S.A.,2010,227892.0
CHEVRON PETROLEUM COMPANY,2017,227847.0
ESWE Versorgungs AG,2009,227844.0
Spotify AB,2021,225000.0
Vistra Corp,2011,225000.0
Air Canada,2017,225000.0
Consorzio PerGenova Breakwater,2013,224000.0
"NetJets Transportes Aéreos, S.A.",2010,224000.0
"Tokyo Gas Co., Ltd. for the LNG cargo delivered on 25 October 2023 under QC LNG SPA",2010,223465.0
Gabon Special Economic Zone SA (GSEZ),2006,223138.0
Eni Plenitude SpA Società Benefit,2021,222907.0
Telstra Corporation Limited,2015,222052.0
Interface Inc.,2017,220632.0
Nespresso S.A. - carbon offsetting,2018,220612.0
"Petromil S.A.S., identificada con NIT: 819.001.667-8",2014,220346.0
"3,353,280 MMBtus of the LNG cargo from Oman LNG, delivered by Shell to Shell Energy India",2010,220149.0
Natura Cosméticos S.A.,2020,220039.0
Booking Holdings Inc.,2017,220000.0
Fortescue Metals Group Limited,2019,220000.0
Zalando SE,2017,219550.0
"OSAKA GAS CO., LTD.",2012,218731.0
ŠKODA AUTO a.s.,2013,218172.0
GP-4,2013,218076.0
EY Global Services,2021,217600.0
WeAct Pty Ltd. with COAS account 101017.,2013,217566.0
0xE8d7763b7C6F969cF1b2eE8a88281bB172Aa91Ff,2014,216849.0
N/A,2020,216030.0
Transaction Reference 10219,2012,215958.0
0xE8d7763b7C6F969cF1b2eE8a88281bB172Aa91Ff,2016,215636.0
On behalf of Netflix,2016,215607.0
"Tokyo Gas Co., Ltd. for the LNG cargo delivered on 8 June 2022 under QC LNG SPA",2010,215574.0
"Tokyo Gas Co., Ltd. for the LNG cargo delivered on 27 December 2023 under QC LNG SPA",2010,215053.0
Air Canada,2015,214502.0
"Toho Gas Co., Ltd. (retired with INPEX CORPORATION for LNG carbon offsetting)",2020,214200.0
Groupe La Poste – BSCC COLIS,2019,213755.0
GP-2,2012,213456.0
0x2845Ec77192Ad7BA2Faf67e63B49BE6c8D4f8b20,2010,212854.0
N/A,2018,212615.0
N/A,2017,212409.0
VistaJet,2017,212381.0
Petróleos del Milenio Petromil S.A.S.,2014,212335.0
Shell,2022,212213.0
0xc4652c97ae04a8cf6541c76cb96d9a7684ea1a8c,2010,211564.0
"Tokyo Gas Co., Ltd. for the LNG cargo delivered on 18 August 2022 under QC LNG SPA",2010,210683.0
Air France,2018,210556.0
Fortescue Metals Group Limited,2018,210000.0
"Tokyo Gas Co., Ltd. for the LNG cargo delivered on 25 November 2022 under QC LNG SPA",2010,209238.0
Ecologi Action Ltd,2017,208702.0
Natural Capital Partners Client,2018,208551.0
Barilla/Harry's,2019,207500.0
Australian Paper,2016,205892.0
Acciaieria Arvedi S.p.A.,2011,204500.0
Natura Cosméticos S.A.,2021,204000.0
Civitas Resources,2013,203511.0
ExtraEnergie GmbH,2010,203292.0
"Tokyo Gas Co., Ltd.",2010,202225.0
"Tokyo Gas Co., Ltd.",2008,202225.0
Natural Capital Partners' client,2020,202049.0
"Toho Gas Co., Ltd. (retired with INPEX CORPORATION for LNG carbon offsetting)",2018,201654.0
FRIEDRICH SCHARR KG,2009,200300.0
SKODA AUTO a.s.,2019,200000.0
EY Global Services Limited,2015,200000.0
LEGRAND Group,2016,200000.0
0x33c83FaB728ADbE2Ef7fcB7258b63edd8335192A,2014,200000.0
Disney,2014,200000.0
Greenchoice,2016,200000.0
BHP,2017,200000.0
Shell,2011,200000.0
"Retired on behalf of easyJet for aviation emissions period 01 April – 30 June 2022, and on behalf of easyJet Holidays for ground-based emissions period 01 April – 30 June 2022",2012,200000.0
0x218D69F2d000Ca037B5918e78688f1B39c39d87f,2013,200000.0
Natura Cosméticos SA,2023,200000.0
FRIEDRICH SCHARR KG,2012,200000.0
Wex Europe Services,2013,199940.0
Norwegian Cruise Line,2013,198800.0
"TOHO GAS CO., LTD.",2016,198720.0
NATURA COSMÉTICOS S.A.,2019,196777.0
VistaJet,2015,196769.0
ENERGY Joburg RF (PTY) Ltd ac no: 100007,2022,196280.0
"Etsy, Inc.",2021,193873.0
WEX Europe Services,2014,193597.0
Brisbane City Council,2014,192593.0
"Recreational Equipment, Inc",2020,192354.0
Paris 2024 Olympic and Paralympic Organising committee,2021,192191.0
"Etsy, Inc.",2019,192173.0
Apple Inc.,2019,191511.0
Maple Leaf Foods Inc.,2018,191259.0
Nando's Chickenland Limited,2015,190281.0
Jet2.com,2021,190000.0
"CPC CORPORATION, TAIWAN",2008,189948.0
"CPC CORPORATION, TAIWAN",2010,189946.0
GP-4,2009,189482.0
"HP, Inc.",2019,189140.0
"Toho Gas Co., Ltd. (retired with INPEX CORPORATION for LNG carbon offsetting)",2014,188527.0
DPD Group,2016,188486.0
Marke VW Pkw,2019,188452.0
GP-4,2008,187055.0
Transaction Reference 10219,2011,186584.0
0xAf529400FF068AFbdc907c699B9184a4381481B0,2008,186536.0
Air France,2013,186365.0
_,2010,186338.0
Nedbank Limited,2005,185000.0
Civitas Resources,2012,184440.0
Forest Carbon Limited,2013,184088.0
4AIR Client,2020,183039.0
Guccio Gucci S.p.a,2013,182526.0
Transaction Reference 10219,2010,182257.0
Delta Air Lines,2013,181847.0
Apple Inc.,2016,181775.0
0xE8d7763b7C6F969cF1b2eE8a88281bB172Aa91Ff,2015,180713.0
Netflix,2013,180000.0
BSkyB Group,2011,180000.0
ECOPETROL S.A NIT 899.999.068-1,2017,179945.0
easyJet Airline Company Limited,2021,179873.0
Bayer AG,2013,179334.0
0xE519B28E8F96e229498F15bb2DA4eC0e942f688F,2015,179184.0
Compensate Foundation,2015,179145.0
0xf36729fbfcde9a65386eb236460d8a8cfced2156,2011,178572.0
Acciaieria Arvedi S.p.A.,2019,178441.0
"Städtische Werke AG, Königstor 3-13, 34117 Kassel",2011,178261.0
Companhia de Navegação Norsul,2014,177913.0
0xf36729fbfcde9a65386eb236460d8a8cfced2156,2012,177743.0
The Boeing Company,2017,177712.0
4AIR,2019,176479.0
4AIR,2020,176256.0
INPEX Corporation,2010,176023.0
OVERSY,2006,175246.0
DPD Group,2014,174064.0
VistaJet,2019,173530.0
Ecologi Action Ltd,2020,173217.0
BRISBANE CITY COUNCIL,2019,172437.0
0x5298ee22d6b4ec1a8c62944ba63a8a197ee726e2,2014,171810.0
VistaJet,2012,171563.0
Zurich Insurance Company Ltd,2013,171239.0
TotalEnergies Marketing Deutschland GmbH Renewal,2021,170706.0
"Retired on behalf of easyJet for aviation Scope 1 CO2e and easyJet holidays Scope 3 CO2e 01July-30 Sept 2022, and for non-aviation Scope 1 CO2e Oct 2021-30 Sept 2022",2013,170000.0
Lyft,2016,170000.0
Chevron Petroleum Company S.A NIT 860.005.223-9,2013,169369.0
Maple Leaf Foods Inc.,2017,169317.0
Flamingo Horticulture Investments Ltd,2011,168186.0
0x2845Ec77192Ad7BA2Faf67e63B49BE6c8D4f8b20,2008,167553.0
Cooper Energy,2021,167501.0
The Walt Disney Company,2019,167245.0
0xF36729fBfcdE9A65386eb236460d8A8CfceD2156,2008,167177.0
Anonymous,2017,166627.0
Transaction Reference 10220,2017,166109.0
Eni Plenitude SpA Società benefit,2022,165789.0
Air France,2022,165323.0
Goldman Sachs J.Aron,2018,165000.0
GeoPost / DPDgroup Carbon Neutral Commitment,2011,164516.0
"Osaka Gas Co., Ltd.",2012,162239.0
Eni Plenitude SpA Società Benefit,2017,161806.0
0x00000016F127c94A667Ae3C9fDF0C31c9C79826f,2016,161351.0
ENTEGA Plus GmbH NATURbalance Erdgas Absatz Privatkunden 2023,2016,161108.0
Boston Consulting Group,2019,160652.0
0xAf529400FF068AFbdc907c699B9184a4381481B0,2013,160333.0
PwC International Limited,2021,159601.0
Zukunftswerk eG,2011,159271.0
Bulb Energy Ltd,2015,158900.0
Pangolin,2019,158375.0
PwC,2015,158101.0
GeoPost/DPDgroup - 2021 Emissions - Certificate 22/264,2016,158000.0
GS Energy Trading Singapore Pte Ltd GSENERS,2008,157468.0
0xd85cF713C480a6dFac34121Ee362A5e0Ef74001F,2016,157370.0
Terpel S.A,2010,157352.0
Natural Capital Partners Client,2017,156768.0
Zukunftswerk eG,2013,155017.0
BIOMAX BIOCOMBUSTIBLES S.A NIT 830136799-1,2013,154975.0
"Retired on behalf of easyJet for aviation emissions period 01 January – 31 March 2022, and on behalf of easyJet Holidays for ground-based emissions period 01 January – 31 March 2022",2018,154859.0
0x886b4f80a48b9516bbaa9fe092afd7565777eb82,2014,154144.0
PwC,2014,154033.0
VistaJet,2009,153648.0
BSkyB Group,2012,153584.0
Grab Company Limited,2020,153390.0
Compañía Trasmediterránea,2011,153244.0
ECOPETROL S.A NIT 899.999.068-1,2018,153232.0
"Toho Gas Co., Ltd. and Sakhalin Energy Investment Company Ltd.",2020,153136.0
Nespresso,2016,153000.0
Chanel,2017,152834.0
Qantas,2009,152068.0
0xDAb7f2BC9AA986d9759718203C9a76534894E900,2016,152038.0
"Retired on behalf of Etsy, Inc.",2017,151972.0
Eni Plenitude SpA Società Benefit,2016,151475.0
Volkswagen Nutzfahrzeuge,2018,150542.0
Air France,2021,150293.0
Nespresso S.A. - carbon offsetting,2016,150000.0
Petrobras,2020,150000.0
Omni United (S) Pte. Ltd,2016,150000.0
"Retired on behalf of easyJet for aviation emissions period 01 January – 31 March 2022, and on behalf of easyJet Holidays for ground-based emissions period 01 January – 31 March 2022",2015,150000.0
0x8588dc362F56DD5023aB2572CDABb04434940276,2018,150000.0
"Retired on behalf of easyJet for aviation emissions period 01 April – 30 June 2023, and on behalf of easyJet Holidays for ground-based emissions period 01 April – 30 June 2023",2015,150000.0
Brisbane City Council,2019,150000.0
0x5298ee22D6B4EC1A8C62944BA63a8A197ee726e2,2008,150000.0
Nespresso S.A. - carbon offsetting,2014,150000.0
Kering S.A.,2008,150000.0
0xd85cF713C480a6dFac34121Ee362A5e0Ef74001F,2013,149995.0
Brisbane City Council,2011,149685.0
ENERGY Joburg RF (PTY) Ltd ac no: 100007,2023,149536.0
EY Global Services Limited,2018,149274.0
PetroChina International Company Limited (“PCI”),2012,148243.0
Stadtwerke Bayreuth Energie und Wasser GmbH,2017,148000.0
Eprimo,2015,147996.0
"Salesforce, Inc.",2018,147534.0
J. Aron & Co.,2013,145452.0
Boston Consulting Group,2020,145421.0
Powershop Australia Pty Limited,2017,145386.0
Exxon Mobil de Colombia SA NIT 860.002.554-8,2014,145220.0
Ovako Group,2019,145000.0
Kuehne+Nagel Management AG,2010,144000.0
Groupe Air France,2010,143707.0
Bayer AG,2016,143222.0
Kuehne+Nagel Management AG,2008,143000.0
0x603CebF231aFa6b1fbaC5e0Ca704Eb365646f203,2012,143000.0
EYGS,2013,142560.0
EYGS,2011,142560.0
Boston Consulting Group,2018,141923.0
EY Global Services Ltd.,2013,141418.0
Companhia de Navegação Norsul,2015,141145.0
Australian Paper,2009,141085.0
Retired on behalf of EY Global Services Limited for FY22,2020,141000.0
"Shaw Industries Group, Inc.",2022,140786.0
Essent België,2018,140691.0
Bayer AG air emissions 2023,2017,140330.0
0x5e740Fce5e48237Db5Fc2646E25C20E96d72A197,2015,140000.0
Chevron Petroleum Company,2014,138725.0
Ovo Energy,2020,138716.0
4AIR,2021,138494.0
GP-4,2011,138236.0
ExtraEnergie GmbH,2011,138202.0
VistaJet,2020,138187.0
Groupe Air France,2009,137879.0
Organizacion Terpel identificada con NIT 830.095.213-0,2012,137777.0
Nicoventures Trading Limited,2013,137647.0
LA Clippers LLC,2013,137643.0
DL,2021,137359.0
Takeda Pharmaceutical Company Limited,2019,136666.0
Skoda Auto a.s.,2017,135675.0
Acciaieria Arvedi S.p.A.,2008,135000.0
Luigi Lavazza Spa,2016,135000.0
Netflix Inc,2012,135000.0
AEL Mining Services Limited and nserve Environmental Services GmbH,2018,134838.0
0xdab7f2bc9aa986d9759718203c9a76534894e900,2014,134752.0
CMA CGM,2015,134687.0
"Toho Gas Co., Ltd. (retired with Marubeni Corporation for LNG carbon offsetting)",2019,134565.0
0x86C4271A3bb3dfC24Af00Df422902aF158e0703c,2020,134200.0
"Netflix, Inc.",2017,134199.0
CO2 Advisor – Rif. CO_2024_202 Ord 002,2023,134000.0
0xee9930a62fbf85fb443ad3d7410da665ebc90b83,2012,133886.0
"Recreational Equipment, Inc.",2017,133604.0
"Cool Effect, Inc.",2014,133427.0
Transaction Reference 10219,2013,133394.0
Eni Plenitude SpA Società benefit,2023,133374.0
GeoPost / DPDgroup Carbon Neutral Commitment,2007,133272.0
Norwegian Cruise Line Holdings Ltd.,2019,131918.0
Takeda Pharmaceutical Company Limited,2017,131796.0
0xeE9930a62FbF85fb443ad3d7410da665ebc90B83,2008,131776.0
Transaction Reference 10220,2013,131741.0
Norwegian Cruise Line Holdings Ltd.,2018,131256.0
Ovo Energy,2017,131000.0
Australian Paper,2015,130858.0
AXA Insurance DAC,2020,130744.0
Marke VW Pkw,2018,130579.0
0x4F8FcF15BC49FecbA384A75d91F3cb60d4E92894,2008,130403.0
PetroChina International Company Limited (“PCI”),2017,130368.0
Brisbane City Council,2018,130361.0
ENERGY Joburg RF (PTY) Ltd ac no: 100007,2021,130227.0
GeoPost / DPDgroup,2007,130000.0
Acciaieria Arvedi S.p.A.,2017,130000.0
The Boeing Company,2013,130000.0
BSkyB Group,2010,130000.0
Zukunftswerk eG,2012,129673.0
"JAPAN PETROLEUM EXPLORATION CO., LTD.",2012,129428.0
0x5e037e2f5C92dc9E180426171b62Da65d3AD5325,2014,129000.0
stadtenergie GmbH,2020,128898.0
"Interface, Inc.",2016,128743.0
DPD Group,2017,128682.0
Chevron Petroleum Company S.A NIT 860.005.223-9,2011,128567.0
Süwag Vertrieb AG & Co. KG,2016,128150.0
GP-004-Clean Advantage-Fleetcor EU,2016,128134.0
Eni Upstream,2014,127867.0
Air Canada,2018,127547.0
0x6D4b1d2e2986Cee0c2cB82cd17ad5b3289f6FBE8,2013,127056.0
"Recreational Equipment, Inc",2019,126833.0
Australia and New Zealand Banking Group Ltd,2014,126821.0
Energy Trading Company,2017,126703.0
DPDgroup,2010,126282.0
